Mar. 29 ,03/29/17,  84° / 47° ,  0.00 in ,  57% / 12% ,  30.01 / 29.88 ,  W 16 MPH   ,  36° / 22°
Mar. 30 ,03/30/17,  88° / 52° ,  0.00 in ,  37% / 9%  ,  29.98 / 29.51 ,  SSW 25 MPH ,  31° / 15°
Mar. 31 ,03/31/17,  68° / 48° ,  0.00 in ,  46% / 14% ,  29.84 / 29.53 ,  W 19 MPH   ,  29° / 10°
Apr. 1  ,04/01/17,  74° / 42° ,  0.00 in ,  63% / 16% ,  29.99 / 29.82 ,  E 16 MPH   ,  32° / 23°
Apr. 2  ,04/02/17,  80° / 47° ,  0.00 in ,  57% / 17% ,  30.02 / 29.85 ,  WSW 16 MPH ,  36° / 27°
Apr. 3  ,04/03/17,  84° / 55° ,  0.03 in ,  50% / 15% ,  29.89 / 29.66 ,  N 34 MPH   ,  45° / 27°
Apr. 4  ,04/04/17,  76° / 53° ,  0.00 in ,  46% / 12% ,  30.03 / 29.83 ,  NW 22 MPH  ,  40° / 18°
Apr. 5  ,04/05/17,  86° / 49° ,  0.00 in ,  42% / 8%  ,  30.11 / 29.95 ,  NE 18 MPH  ,  28° / 16°
Apr. 6  ,04/06/17,  92° / 51° ,  0.00 in ,  41% / 8%  ,  30.01 / 29.89 ,  WSW 15 MPH ,  30° / 19°
Apr. 7  ,04/07/17,  90° / 56° ,  0.00 in ,  30% / 9%  ,  30.06 / 29.90 ,  SSE 12 MPH ,  32° / 22°
Apr. 8  ,04/08/17,  85° / 56° ,  0.00 in ,  32% / 6%  ,  29.95 / 29.77 ,  SW 16 MPH  ,  37° / 9°
Apr. 9  ,04/09/17,  79° / 50° ,  0.00 in ,  44% / 12% ,  29.99 / 29.84 ,  WSW 13 MPH ,  32° / 18°
Apr. 10 ,04/10/17,  83° / 45° ,  0.00 in ,  44% / 6%  ,  30.05 / 29.91 ,  S 12 MPH   ,  29° / 7°
Apr. 11 ,04/11/17,  89° / 47° ,  0.00 in ,  37% / 5%  ,  30.00 / 29.87 ,  W 13 MPH   ,  28° / 9°
Apr. 12 ,04/12/17,  91° / 52° ,  0.00 in ,  32% / 7%  ,  29.99 / 29.87 ,  SSE 11 MPH ,  25° / 17°
Apr. 13 ,04/13/17,  93° / 55° ,  0.00 in ,  29% / 10% ,  29.93 / 29.79 ,  WSW 16 MPH ,  32° / 20°
Apr. 14 ,04/14/17,  90° / 54° ,  0.00 in ,  39% / 11% ,  29.90 / 29.79 ,  W 16 MPH   ,  33° / 24°
Apr. 15 ,04/15/17,  88° / 55° ,  0.00 in ,  33% / 10% ,  29.98 / 29.87 ,  SW 14 MPH  ,  30° / 22°
Apr. 16 ,04/16/17,  91° / 54° ,  0.00 in ,  31% / 6%  ,  29.99 / 29.89 ,  W 16 MPH   ,  29° / 14°
Apr. 17 ,04/17/17,  92° / 56° ,  0.00 in ,  28% / 8%  ,  30.03 / 29.90 ,  WSW 15 MPH ,  31° / 19°
Apr. 18 ,04/18/17,  94° / 57° ,  0.00 in ,  34% / 10% ,  30.02 / 29.90 ,  W 16 MPH   ,  38° / 26°
Apr. 19 ,04/19/17,  91° / 61° ,  0.00 in ,  40% / 13% ,  30.04 / 29.93 ,  NW 17 MPH  ,  42° / 26°
Apr. 20 ,04/20/17,  90° / 55° ,  0.00 in ,  32% / 7%  ,  30.01 / 29.86 ,  W 16 MPH   ,  31° / 13°
Apr. 21 ,04/21/17,  93° / 53° ,  0.00 in ,  32% / 5%  ,  29.95 / 29.80 ,  W 17 MPH   ,  29° / 11°
Apr. 22 ,04/22/17,  95° / 58° ,  0.00 in ,  28% / 7%  ,  29.93 / 29.81 ,  NW 12 MPH  ,  30° / 19°
Apr. 23 ,04/23/17,  99° / 61° ,  0.00 in ,  27% / 6%  ,  29.87 / 29.69 ,  W 17 MPH   ,  32° / 20°
Apr. 24 ,04/24/17,  90° / 63° ,  0.00 in ,  23% / 8%  ,  29.81 / 29.64 ,  W 18 MPH   ,  33° / 18°
Apr. 25 ,04/25/17,  83° / 65° ,  0.00 in ,  40% / 9%  ,  29.81 / 29.63 ,  W 22 MPH   ,  44° / 14°
Apr. 26 ,04/26/17,  87° / 58° ,  0.00 in ,  27% / 9%  ,  29.88 / 29.71 ,  S 16 MPH   ,  29° / 17°
Apr. 27 ,04/27/17,  88° / 62° ,  0.00 in ,  33% / 15% ,  29.74 / 29.60 ,  WSW 16 MPH ,  40° / 26°
Apr. 28 ,04/28/17,  84° / 61° ,  0.00 in ,  44% / 5%  ,  29.80 / 29.58 ,  NW 32 MPH  ,  48° /-3°
Apr. 29 ,04/29/17,  78° / 55° ,  0.00 in ,  21% / 10% ,  30.01 / 29.78 ,  NNE 20 MPH ,  23° / 12°
Apr. 30 ,04/30/17,  85° / 51° ,  0.00 in ,  35% / 9%  ,  30.08 / 29.92 ,  WSW 14 MPH ,  27° / 15°
1-May,05/01/17,  92° / 57° ,  0.00 in ,  24% / 7%  ,  29.98 / 29.82 ,  NW 15 MPH  ,  26° / 17°
2-May,05/02/17,  95° / 61° ,  0.00 in ,  22% / 8%  ,  29.92 / 29.78 ,  WSW 16 MPH ,  30° / 19°
3-May,05/03/17,  99° / 65° ,  0.00 in ,  24% / 8%  ,  29.96 / 29.84 ,  NE 16 MPH  ,  35° / 25°
4-May,05/04/17, 103° / 65° ,  0.00 in ,  28% / 7%  ,  29.97 / 29.81 ,  W 14 MPH   ,  35° / 23°
5-May,05/05/17, 107° / 65° ,  0.00 in ,  35% / 7%  ,  29.85 / 29.63 ,  S 19 MPH   ,  39° / 27°
6-May,05/06/17,  97° / 70° ,  0.00 in ,  28% / 9%  ,  29.79 / 29.58 ,  WSW 27 MPH ,  42° / 26°
7-May,05/07/17,  74° / 59° ,  0.00 in ,  52% / 24% ,  29.86 / 29.77 ,  S 17 MPH   ,  46° / 29°
8-May,05/08/17,  82° / 55° ,  0.06 in ,  65% / 20% ,  29.90 / 29.69 ,  W 21 MPH   ,  49° / 28°
9-May,05/09/17,  75° / 53° ,  0.13 in ,  85% / 24% ,  29.97 / 29.85 ,  S 19 MPH   ,  54° / 34°
10-May,05/10/17,  78° / 55° ,  0.00 in ,  66% / 25% ,  30.06 / 29.95 ,  ESE 10 MPH ,  47° / 36°
11-May,05/11/17,  88° / 55° ,  0.00 in ,  71% / 21% ,  30.09 / 29.93 ,  W 15 MPH   ,  49° / 41°
12-May,05/12/17,  96° / 63° ,  0.00 in ,  56% / 13% ,  29.96 / 29.73 ,  W 15 MPH   ,  50° / 35°
13-May,05/13/17,  97° / 64° ,  0.00 in ,  41% / 9%  ,  29.82 / 29.65 ,  ---------- ,  42° / 27°
14-May,05/14/17,  92° / 65° ,  0.00 in ,  32% / 14% ,  29.85 / 29.71 ,  WSW 23 MPH ,  39° / 29°
15-May,05/15/17,  86° / 61° ,  0.00 in ,  40% / 10% ,  29.83 / 29.72 ,  S 30 MPH   ,  40° / 21°
16-May,05/16/17,  76° / 58° ,  0.00 in ,  39% / 13% ,  29.91 / 29.79 ,  W 25 MPH   ,  37° / 20°
17-May,05/17/17,  84° / 56° ,  0.00 in ,  35% / 15% ,  29.89 / 29.66 ,  S 17 MPH   ,  42° / 26°
18-May,05/18/17,  84° / 63° ,  0.00 in ,  41% / 8%  ,  29.85 / 29.74 ,  N 24 MPH   ,  40° / 17°
19-May,05/19/17,  85° / 59° ,  0.00 in ,  35% / 10% ,  29.92 / 29.82 ,  N 22 MPH   ,  33° / 21°
20-May,05/20/17,  94° / 62° ,  0.00 in ,  26% / 8%  ,  29.94 / 29.77 ,  NE 21 MPH  ,  30° / 22°
21-May,05/21/17,  99° / 62° ,  0.00 in ,  31% / 7%  ,  29.92 / 29.80 ,  W 15 MPH   ,  35° / 23°
22-May,05/22/17, 103° / 67° ,  0.00 in ,  25% / 7%  ,  29.93 / 29.78 ,  W 19 MPH   ,  33° / 25°
23-May,05/23/17, 103° / 69° ,  0.00 in ,  27% / 6%  ,  29.93 / 29.76 ,  NW 14 MPH  ,  37° / 22°
24-May,05/24/17, 106° / 71° ,  0.00 in ,  21% / 7%  ,  29.82 / 29.59 ,  SW 18 MPH  ,  32° / 21°
25-May,05/25/17,  99° / 72° ,  0.00 in ,  19% / 4%  ,  29.79 / 29.64 ,  WSW 22 MPH ,  32° / 9°
26-May,05/26/17,  95° / 69° ,  0.00 in ,  23% / 8%  ,  29.90 / 29.78 ,  SSE 25 MPH ,  34° / 21°
27-May,05/27/17,  95° / 63° ,  0.00 in ,  25% / 8%  ,  29.98 / 29.87 ,  SE 16 MPH  ,  32° / 19°
28-May,05/28/17, 100° / 63° ,  0.00 in ,  29% / 5%  ,  29.95 / 29.81 ,  NW 15 MPH  ,  33° / 16°
29-May,05/29/17, 102° / 65° ,  0.00 in ,  25% / 7%  ,  29.87 / 29.72 ,  NW 14 MPH  ,  32° / 21°
30-May,05/30/17, 101° / 72° ,  0.00 in ,  26% / 9%  ,  29.90 / 29.75 ,  ENE 19 MPH ,  44° / 24°
31-May,05/31/17, 101° / 72° ,  0.00 in ,  35% / 10% ,  29.86 / 29.67 ,  S 21 MPH   ,  47° / 31°
Jun. 1  ,06/01/17,  98° / 71° ,  0.00 in ,  31% / 10% ,  29.84 / 29.71 ,  S 16 MPH   ,  42° / 29°
Jun. 2  ,06/02/17, 100° / 66° ,  0.00 in ,  40% / 11% ,  29.88 / 29.72 ,  WSW 14 MPH ,  45° / 34°
Jun. 3  ,06/03/17, 106° / 71° ,  0.00 in ,  30% / 8%  ,  29.89 / 29.72 ,  W 15 MPH   ,  41° / 30°
Jun. 4  ,06/04/17, 105° / 75° ,  0.00 in ,  28% / 9%  ,  29.88 / 29.72 ,  SE 13 MPH  ,  41° / 33°
Jun. 5  ,06/05/17, 106° / 75° ,  0.00 in ,  26% / 10% ,  29.86 / 29.73 ,  NW 14 MPH  ,  42° / 35°
Jun. 6  ,06/06/17, 105° / 77° ,  0.00 in ,  27% / 11% ,  29.92 / 29.77 ,  SE 16 MPH  ,  43° / 36°
Jun. 7  ,06/07/17, 106° / 72° ,  0.00 in ,  34% / 10% ,  29.94 / 29.79 ,  NNW 16 MPH ,  43° / 27°
Jun. 8  ,06/08/17, 103° / 74° ,  0.00 in ,  31% / 6%  ,  29.96 / 29.79 ,  NW 16 MPH  ,  46° / 20°
Jun. 9  ,06/09/17, 105° / 70° ,  0.00 in ,  34% / 9%  ,  29.87 / 29.69 ,  WNW 17 MPH ,  43° / 33°
Jun. 10 ,06/10/17, 103° / 69° ,  0.00 in ,  29% / 6%  ,  29.83 / 29.66 ,  S 19 MPH   ,  39° / 22°
Jun. 11 ,06/11/17,  99° / 70° ,  0.00 in ,  35% / 11% ,  29.84 / 29.71 ,  SW 22 MPH  ,  43° / 26°
Jun. 12 ,06/12/17,  94° / 65° ,  0.00 in ,  32% / 11% ,  29.94 / 29.80 ,  SW 16 MPH  ,  40° / 21°
Jun. 13 ,06/13/17,  94° / 59° ,  0.00 in ,  25% / 5%  ,  29.91 / 29.79 ,  WSW 13 MPH ,  27° / 11°
